transaction_id,store_id,timestamp,sku,category,quantity,unit_price,total_amount,payment_method,customer_id,is_anomaly,anomaly_type
e54cbc77-aa1a-4445-8f04-46584d24fd69,STORE_013,2024-01-27 20:44:00,SKU_0176,Grocery,2,428.03,848.63,wallet,CUST_00397,0,
83f7a5dd-1cfc-4ca8-818f-0ce9ce7f45e3,STORE_005,2024-03-08 11:59:00,SKU_0082,Grocery,3,77.69,230.57,card,CUST_00385,0,
51333aef-13d2-4672-9ff1-c3a218fd5a0b,STORE_019,2024-02-10 15:45:00,SKU_0199,Grocery,3,361.28,1096.57,card,CUST_00557,0,
0ee7c98e-98ec-4c47-bd86-46bfe6eea8a7,STORE_015,2024-02-29 10:18:00,SKU_0282,HomeGoods,1,110.84,110.62,wallet,CUST_00066,0,
347438f7-fdda-47c4-bac9-b32c86934d4f,STORE_013,2024-02-02 21:42:00,SKU_0404,Apparel,3,155.95,463.74,UPI,CUST_00309,0,
60efe6fd-6e85-423c-abc6-b8f30cb87353,STORE_002,2024-02-02 18:44:00,SKU_0184,Apparel,2,1409.53,2854.1,UPI,CUST_00425,0,
68665243-0b05-4605-9819-c78c289b8bec,STORE_007,2024-02-05 13:53:00,SKU_0385,Electronics,4,204.15,800.9,wallet,CUST_00209,0,
1e28e020-ee53-4ab6-8aa9-7539b6f708bf,STORE_001,2024-02-20 10:43:00,SKU_0313,Apparel,4,138.29,545.95,wallet,CUST_00504,0,
c828cd50-5887-481c-94fb-f6fb78a0f4fb,STORE_002,2024-02-23 15:43:00,SKU_0146,Electronics,5,628.62,3184.21,UPI,CUST_00038,0,
9e7fa875-8c65-4e25-8185-31281548c0d1,STORE_010,2024-03-22 12:25:00,SKU_0456,Grocery,6,117.13,704.2,card,CUST_00063,0,
d10abe4c-fd4d-4680-bea0-09172640367e,STORE_012,2024-01-18 17:24:00,SKU_0217,Apparel,6,174.78,1060.16,wallet,CUST_00474,0,
215018a8-a92f-4a50-b51d-bc1ca15af40e,STORE_019,2024-01-31 17:24:00,SKU_0076,Electronics,2,679.06,1376.49,UPI,CUST_00075,0,
43e631d7-15e6-414c-8112-0e9681f407b8,STORE_003,2024-02-11 14:15:00,SKU_0481,Grocery,2,258.7,526.55,wallet,CUST_00251,0,
13f150ea-5011-4099-a3d7-d80828c4c67a,STORE_006,2024-01-12 19:05:00,SKU_0456,Grocery,4,71.68,281.71,wallet,CUST_00168,0,
f24f6273-ac15-44b6-bbed-715e11d577c1,STORE_007,2024-01-30 17:07:00,SKU_0025,Pharmacy,7,386.31,2736.54,UPI,CUST_00412,0,
186ea85e-9acc-430b-a3be-39aec836277d,STORE_002,2024-02-28 18:39:00,SKU_0451,Pharmacy,4,182.05,734.28,card,CUST_00007,0,
7bb55598-65af-4df9-b383-45e05e96d94f,STORE_002,2024-01-28 08:53:00,SKU_0473,Electronics,1,856.92,846.88,wallet,CUST_00214,0,
4938b733-3551-4636-84ff-bb20c83de0b8,STORE_007,2024-01-30 19:11:00,SKU_0414,HomeGoods,6,153.93,939.53,wallet,CUST_00591,0,
2f4358dc-d94f-4301-b29e-52960baae8e5,STORE_003,2024-01-15 18:56:00,SKU_0128,HomeGoods,3,579.66,1732.32,cash,CUST_00221,0,
8c1bacbd-4584-4a35-8be8-25bd1d1142f7,STORE_010,2024-03-18 18:14:00,SKU_0316,Grocery,1,1034.86,1050.9,UPI,CUST_00359,0,
a14880da-59cf-4879-9ea0-ba886d8168e4,STORE_007,2024-03-23 17:10:00,SKU_0269,Apparel,1,126.56,127.09,UPI,CUST_00592,0,
b544f18f-4b05-4e95-b4ed-ca3f4d22c2d7,STORE_013,2024-01-12 20:16:00,SKU_0310,HomeGoods,5,214.2,1072.15,UPI,CUST_00364,0,
1fca2758-7f94-47bd-853e-300c8a835eea,STORE_012,2024-03-09 09:16:00,SKU_0308,Grocery,2,341.16,673.03,wallet,CUST_00452,0,
ed09107f-4e5d-4821-a704-5840f17bce41,STORE_003,2024-01-26 11:40:00,SKU_0319,Electronics,5,125.91,639.98,card,CUST_00575,0,
ca74824c-229f-42e7-b90a-988b8386323b,STORE_013,2024-03-23 20:44:00,SKU_0257,Grocery,4,310.35,1244.21,wallet,CUST_00370,0,
63f401f6-e1f2-4f81-a204-442cbe472c4f,STORE_013,2024-01-19 21:32:00,SKU_0345,Grocery,3,208.83,614.11,UPI,CUST_00499,0,
1d8181b9-90e7-4475-95f2-a3586194bcb4,STORE_006,2024-02-19 17:46:00,SKU_0263,Grocery,1,205.49,201.53,cash,CUST_00304,0,
4b4ffd89-53a6-45f3-95c9-ee80f5b27099,STORE_003,2024-03-26 16:36:00,SKU_0009,Grocery,4,259.98,1051.47,UPI,CUST_00488,0,
8fcee20a-0cc7-45c2-873c-e9e0eecce055,STORE_010,2024-03-08 11:18:00,SKU_0018,Electronics,1,264.67,261.09,cash,CUST_00385,0,
f81b494b-44b2-4624-bc09-c74eaa1de4c6,STORE_002,2024-02-26 08:19:00,SKU_0479,Pharmacy,2,285.02,572.29,wallet,CUST_00203,0,
c1bf816a-66d9-4ab4-b78c-785068a49b46,STORE_002,2024-03-05 21:31:00,SKU_0454,Electronics,3,154.84,467.88,wallet,CUST_00334,0,
f28fcc18-cb00-48bc-915c-38841c1e2a04,STORE_001,2024-02-05 14:41:00,SKU_0293,HomeGoods,3,160.34,476.77,wallet,CUST_00200,0,
af965d2a-8d3d-45f0-8aa0-0f37becba5de,STORE_013,2024-02-19 08:32:00,SKU_0088,HomeGoods,2,227.37,456.0,UPI,CUST_00238,0,
db39835d-3ccc-4998-bbb4-9ec98a77c5ea,STORE_010,2024-02-06 17:52:00,SKU_0390,HomeGoods,3,241.21,716.11,card,CUST_00175,0,
3469fd15-1104-484b-b616-3f58ab9badd9,STORE_012,2024-03-27 16:21:00,SKU_0072,Pharmacy,4,175.98,716.49,card,CUST_00294,0,
5ae3c229-5036-49b8-9f04-bb0d467e07de,STORE_013,2024-02-09 10:56:00,SKU_0189,Electronics,2,323.96,657.25,wallet,CUST_00208,0,
63df1cf6-46ca-4089-8761-802e57f3c5cd,STORE_007,2024-03-17 19:19:00,SKU_0165,Grocery,3,58.54,174.13,cash,CUST_00375,0,
bd65faf4-42ee-41b4-9426-f49ceb3c5854,STORE_008,2024-01-29 19:32:00,SKU_0007,Electronics,4,139.36,558.08,wallet,CUST_00221,0,
b5dfe6a4-0b8a-47d5-89eb-b501ba5b1f25,STORE_002,2024-03-04 14:26:00,SKU_0403,Apparel,2,199.84,399.69,card,CUST_00294,0,
d658fbd1-7e5f-4f47-8b17-59af406dffd2,STORE_001,2024-02-26 19:20:00,SKU_0255,HomeGoods,3,126.04,385.08,UPI,CUST_00084,0,
76e486da-c29b-4284-8098-e10f33023d1c,STORE_010,2024-03-13 11:24:00,SKU_0158,Pharmacy,1,920.41,916.51,UPI,CUST_00231,0,
